Degree,ID,Curriculum,Field of studies,ECTS Credits,Semester,Link
16 Master of Science,5221,"Informatik (Teilzeit, 66%) (kA/20231)",Informatik,120,6,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5221&pStartSemester=
16 Master of Science,4298,Aerospace Engineering (kA/20121),Luft- und Raumfahrttechnik,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=4298&pStartSemester=
16 Master of Science,4724,"Physik (Kern-, Teilchen- und Astrophysik) (kA/20181)",Physik,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=4724&pStartSemester=
16 Master of Science,4864,Mathematics in Science and Engineering (kA/20191),Technomathematik,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=4864&pStartSemester=
16 Master of Science,5245,Mathematical Finance and Actuarial Science (kA/20231),Wirtschaftsmathematik,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5245&pStartSemester=
16 Master of Science,4406,Mathematics in Operations Research (kA/20141),Wirtschaftsmathematik,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=4406&pStartSemester=
16 Master of Science,5219,Informatik: Games Engineering (kA/20231),Informatik,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5219&pStartSemester=
16 Master of Science,4725,Physik (Biophysik) (kA/20181),Physik,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=4725&pStartSemester=
16 Master of Science,5246,Mathematics in Data Science (kA/20231),Mathematik,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5246&pStartSemester=
16 Master of Science,5000,Bioinformatik (kA/20211),Informatik,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5000&pStartSemester=
16 Master of Science,4699,Physics (Applied and Engineering Physics) (kA/20181),Physik,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=4699&pStartSemester=
16 Master of Science,4733,Data Engineering and Analytics (kA/20181),Informatik,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=4733&pStartSemester=
16 Master of Science,4598,Automotive Software Engineering (kA/20161),Informatik,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=4598&pStartSemester=
16 Master of Science,4240,Theoretische und mathematische Physik (Elitestudiengang) (kA/20071; sb bis 30.09.2050),Physik,,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=4240&pStartSemester=
16 Master of Science,5128,Biomedical Computing (kA/20221),Medizinische Informatik,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5128&pStartSemester=
16 Master of Science,5271,"Robotics, Cognition, Intelligence (kA/20241)",Ingenieurinformatik/Technische Informatik,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5271&pStartSemester=
16 Master of Science,3062,Elitestudiengang Finance & Information Management (kA/0; sb bis 30.09.2039),Wirtschaftswissenschaften,,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=3062&pStartSemester=
16 Master of Science,5364,Data & Society (kA/20241),Sozialkunde,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5364&pStartSemester=
16 Master of Science,5260,Human Factors Engineering (kA/20241),Interdisziplinäre Studien (Schwerpunkt Ingenieurwissenschaften),120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5260&pStartSemester=
16 Master of Science,5395,Sustainable Energy and Processes (kA/20241),Biotechnologie,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5395&pStartSemester=
16 Master of Science,5344,Aerospace (kA/20241),Luft- und Raumfahrttechnik,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5344&pStartSemester=
16 Master of Science,5209,Aerospace Engineering (GIST TUM Asia) (kA/20231; sb bis 30.09.2050),Luft- und Raumfahrttechnik,120,4,https://campus.tum.de/wbstpcs.showSpoTree?pStStudiumNr=&pSJNr=1621&pStpStpNr=5209&pStartSemester=
