Study_Program_ID,Level,Name,Link,Recommended_Semester,Credits,GF
121,2,Entrepreneurial Prototyping,#,-,,1
121,3,[WI000984] Entrepreneurship,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/759654/study-year/1621,,3,1
121,2,Entrepreneurship,#,1.,3,1
121,3,Entrepreneurship,#,-,,1
121,2,Entrepreneurship - Lecture Workshops,#,-,,1
121,3,[WI001217] Geheimnisschutz,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1746283/study-year/1621,,3,1
121,2,Geheimnisschutz,#,-,3,1
121,3,Geheimnisschutz,#,-,,1
121,2,[WI000979] Inventory Management,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/737300/study-year/1621,,6,1
121,3,Inventory Management,#,-,6,1
121,2,Inventory Management,#,-,,1
121,3,[WI001231] Leadership and Strategy in the 21st Century,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1814863/study-year/1621,,3,1
121,2,Leadership and Strategy in the 21st Century,#,-,3,1
121,3,Leadership and Strategy in the 21st Century,#,-,,1
121,2,[WI001218] Patentschutz,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1746286/study-year/1621,,3,1
121,3,Patentschutz,#,-,3,1
121,2,Patentschutz,#,-,,1
121,3,[WIB26001] Social Entrepreneurship Lab,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1108762/study-year/1621,,6,1
121,2,[WIB26001] Social Entrepreneurship Lab,#,-,6,1
121,3,Social Entrepreneurship Lab,#,-,,1
121,2,[SG8000160] Sponsorship-linked Marketing (Online-Kurs),ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1073242/study-year/1621,,6,1
121,3,Sponsorship-linked Marketing,#,3.,6,1
121,2,Sponsorship-linked marketing (Online-Kurs),#,-,,1
121,2,Sponsorship-linked marketing (Online-Kurs) VO,#,-,,1
121,3,[WI000977] Stochastic Modeling and Optimization,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/737291/study-year/1621,,6,1
121,2,Stochastic Modeling and Optimization,#,-,6,1
121,3,Stochastic Modeling and Optimization,#,-,,1
121,3,[WI001180] Tech Challenge,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1412293/study-year/1621,,6,1
121,2,Tech Challenge,#,-,6,1
121,3,Tech Challenge,#,-,,1
121,2,[WI000813] Technology Entrepreneurship Lab,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/584574/study-year/1621,,6,1
121,3,Technology Entrepreneurship Lab,#,-,6,1
121,2,Technology Entrepreneurship Lab,#,-,,1
121,3,[WI000978] Transportation Logistics,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/737297/study-year/1621,,6,1
121,2,Transportation Logistics,#,-,6,1
121,3,Transportation Logistics,#,-,,1
121,2,[WI001195] Value-based Business Strategy & Innovation,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1548947/study-year/1621,,6,1
121,3,Value-based Business Strategy & Innovation,#,-,6,1
121,2,Value-based Business Strategy & Innovation,#,-,,1
121,3,[WIB26004] What’s New about New Forms of Organizing?,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1506760/study-year/1621,,6,1
121,2,What’s New about New Forms of Organizing?,#,-,,1
121,3,What’s New about New Forms of Organizing?,#,-,,1
121,2,1 aus 6,#,,,1
