Study_Program_ID,Name (1),Name (2),Name (3),Link,Credits,GF
121,Übergreifende Wahlmodule,Datenbanken und Informationssysteme,[CIT3230001] Codegenerierung für Datenverarbeitung,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/3310961/study-year/1621,6,1
121,Übergreifende Wahlmodule,Datenbanken und Informationssysteme,[CIT3230004] Data Processing on Modern Hardware,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/3499417/study-year/1621,5,1
121,Übergreifende Wahlmodule,Datenbanken und Informationssysteme,[CIT3230003] Data Structure Engineering,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/3471253/study-year/1621,5,1
121,Übergreifende Wahlmodule,Datenbanken und Informationssysteme,[IN2031] Einsatz und Realisierung von Datenbanksystemen,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/261475/study-year/1621,6,1
121,Übergreifende Wahlmodule,Datenbanken und Informationssysteme,[IN2288] Event Processing,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/819263/study-year/1621,5,1
121,Übergreifende Wahlmodule,Datenbanken und Informationssysteme,[CIT323001] High Performance Query Processing,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/4116906/study-year/1621,5,1
121,Übergreifende Wahlmodule,Datenbanken und Informationssysteme,[IN2219] Query Optimization,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/487478/study-year/1621,6,1
121,Übergreifende Wahlmodule,Datenbanken und Informationssysteme,[IN2267] Transaction Systems,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/757477/study-year/1621,6,1
121,Übergreifende Wahlmodule,Digitale Biologie und Digitale Medizin,,,,1
121,Übergreifende Wahlmodule,Digitale Biologie und Digitale Medizin,[IN3420] Ausgewählte Themen aus dem Bereich Digitale Biologie und Digitale Medizin,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1498120/study-year/1621,5,1
121,Übergreifende Wahlmodule,Digitale Biologie und Digitale Medizin,[CIT4230001] Computational Modeling for System Genetics,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/3307984/study-year/1621,6,1
121,Übergreifende Wahlmodule,Digitale Biologie und Digitale Medizin,[IN2319] Computational Physiology for Medical Image Computing,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1102305/study-year/1621,6,1
121,Übergreifende Wahlmodule,Digitale Biologie und Digitale Medizin,[IN2021] Informatikanwendungen in der Medizin,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/473851/study-year/1621,6,1
121,Übergreifende Wahlmodule,Digitale Biologie und Digitale Medizin,[IN2022] Informatikanwendungen in der Medizin II,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/456378/study-year/1621,5,1
121,Übergreifende Wahlmodule,Digitale Biologie und Digitale Medizin,[IN2292] Introduction to Surgical Robotics,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/936739/study-year/1621,6,1
121,Übergreifende Wahlmodule,Digitale Biologie und Digitale Medizin,[IN2393] Machine Learning for Regulatory Genomics,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/2806034/study-year/1621,6,1
121,Übergreifende Wahlmodule,Digitale Biologie und Digitale Medizin,[IN2293] Medical Augmented Reality,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/936744/study-year/1621,5,1
121,Übergreifende Wahlmodule,Digitale Biologie und Digitale Medizin,[IN2322] Protein Prediction I for Computer Scientists,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1149546/study-year/1621,8,1
121,Übergreifende Wahlmodule,Digitale Biologie und Digitale Medizin,[IN2291] Protein Prediction II for Computer Scientists,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/930647/study-year/1621,8,1
121,Übergreifende Wahlmodule,Formale Methoden und ihre Anwendungen,,,,1
121,Übergreifende Wahlmodule,Formale Methoden und ihre Anwendungen,[CIT3230000] Advanced Concepts of Programming Languages,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/3307469/study-year/1621,6,1
