ID,name,credits,version,valid,responsible,organisation,note,module_level,abbreviation,subtitle,duration,occurrence,language,related_programs,total_hours,contact_hours,self_study_hours,description_of_achievement_and_assessment_methods,exam_retake_next_semester,exam_retake_at_the_end_of_semester,prerequisites_recommended,intended_learning_outcomes,content,teaching_and_learning_methods,media,reading_list,curriculum_ID,transformed_link
,,,,,,,,,,,,,,,,,,,,,,,,,,,129,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/1149546/206?$ctx=lang=en&$scrollTo=toc_details
,,,,,,,,,,,,,,,,,,,,,,,,,,,130,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/930647/206?$ctx=lang=en&$scrollTo=toc_details
,,,,,,,,,,,,,,,,,,,,,,,,,,,132,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/3307469/206?$ctx=lang=en&$scrollTo=toc_details
,,,,,,,,,,,,,,,,,,,,,,,,,,,133,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/480385/206?$ctx=lang=en&$scrollTo=toc_details
,,,,,,,,,,,,,,,,,,,,,,,,,,,134,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/456400/206?$ctx=lang=en&$scrollTo=toc_details
,,,,,,,,,,,,,,,,,,,,,,,,,,,135,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/456408/206?$ctx=lang=en&$scrollTo=toc_details
,,,,,,,,,,,,,,,,,,,,,,,,,,,136,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/520233/206?$ctx=lang=en&$scrollTo=toc_details
,,,,,,,,,,,,,,,,,,,,,,,,,,,137,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/1338241/206?$ctx=lang=en&$scrollTo=toc_details
,,,,,,,,,,,,,,,,,,,,,,,,,,,138,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/930144/206?$ctx=lang=en&$scrollTo=toc_details
,,,,,,,,,,,,,,,,,,,,,,,,,,,140,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/456426/206?$ctx=lang=en&$scrollTo=toc_details
,,,,,,,,,,,,,,,,,,,,,,,,,,,141,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/456482/206?$ctx=lang=en&$scrollTo=toc_details
,,,,,,,,,,,,,,,,,,,,,,,,,,,142,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/456414/206?$ctx=lang=en&$scrollTo=toc_details
,,,,,,,,,,,,,,,,,,,,,,,,,,,143,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/456506/206?$ctx=lang=en&$scrollTo=toc_details
,,,,,,,,,,,,,,,,,,,,,,,,,,,144,https://campus.tum.de/tumonline/ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/456509/206?$ctx=lang=en&$scrollTo=toc_details
