Study_Program_ID,Name (0),Name (1),Name (2),Name (3),Link,Recommended_Semester,Credits,GF
121,[20221] Information Systems,Übergreifende Wahlmodule,Management,[WI001231] Leadership and Strategy in the 21st Century,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1814863/study-year/1621,,3,1
121,[20221] Information Systems,Übergreifende Wahlmodule,Management,[WI001218] Patentschutz,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1746286/study-year/1621,,3,1
121,[20221] Information Systems,Übergreifende Wahlmodule,Management,[WIB26001] Social Entrepreneurship Lab,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1108762/study-year/1621,,6,1
121,[20221] Information Systems,Übergreifende Wahlmodule,Management,[SG8000160] Sponsorship-linked Marketing (Online-Kurs),ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1073242/study-year/1621,,6,1
121,[20221] Information Systems,Übergreifende Wahlmodule,Management,[WI000977] Stochastic Modeling and Optimization,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/737291/study-year/1621,,6,1
121,[20221] Information Systems,Übergreifende Wahlmodule,Management,[WI001180] Tech Challenge,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1412293/study-year/1621,,6,1
121,[20221] Information Systems,Übergreifende Wahlmodule,Management,[WI000813] Technology Entrepreneurship Lab,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/584574/study-year/1621,,6,1
121,[20221] Information Systems,Übergreifende Wahlmodule,Management,[WI000978] Transportation Logistics,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/737297/study-year/1621,,6,1
121,[20221] Information Systems,Übergreifende Wahlmodule,Management,[WI001195] Value-based Business Strategy & Innovation,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1548947/study-year/1621,,6,1
121,[20221] Information Systems,Übergreifende Wahlmodule,Management,[WIB26004] What’s New about New Forms of Organizing?,ee/ui/ca2/app/desktop/#/slc.cm.reg/student/modules/detail/light/1506760/study-year/1621,,6,1
121,[20221] Information Systems,Übergreifende Wahlmodule,Management,1 aus 6,#,,,1
121,[20221] Information Systems,Übergreifende Wahlmodule,Algorithmen,,#,,5,1
121,[20221] Information Systems,Übergreifende Wahlmodule,Algorithmen,[IN99540] Anerkanntes Wahlmodul im Bereich Algorithmen,#,,,1
